sale_time,purchaser_gender
2013-04-01 01:07:41,male
2013-04-01 01:25:01,male
2013-04-01 01:34:57,female
2013-04-01 02:11:18,female
2013-04-01 02:11:38,male
2013-04-01 02:38:04,male
2013-04-01 02:38:57,female
2013-04-01 02:44:19,female
2013-04-01 02:53:42,male
2013-04-01 02:56:48,female
2013-04-01 02:56:54,female
2013-04-01 02:58:51,female
2013-04-01 03:07:16,female
2013-04-01 03:07:41,female
2013-04-01 03:11:50,male
2013-04-01 03:15:01,female
2013-04-01 03:20:52,male
2013-04-01 03:31:53,male
2013-04-01 03:38:55,male
2013-04-01 03:45:09,female
2013-04-01 03:52:07,female
2013-04-01 04:03:40,male
2013-04-01 04:04:05,female
2013-04-01 04:04:22,male
2013-04-01 04:11:30,female
2013-04-01 04:14:47,male
2013-04-01 04:21:10,female
2013-04-01 04:25:29,female
2013-04-01 04:25:32,female
2013-04-01 04:34:03,female
2013-04-01 04:37:19,female
2013-04-01 04:37:41,male
2013-04-01 04:42:04,female
2013-04-01 05:00:04,female
2013-04-01 05:05:08,female
2013-04-01 05:07:48,male
2013-04-01 05:12:43,female
2013-04-01 05:17:35,female
2013-04-01 05:29:57,male
2013-04-01 05:37:53,female
2013-04-01 05:49:46,female
2013-04-01 05:52:06,female
2013-04-01 05:57:31,female
2013-04-01 05:58:14,female
2013-04-01 06:00:08,female
2013-04-01 06:05:26,female
2013-04-01 06:16:13,male
2013-04-01 06:16:33,male
2013-04-01 06:17:29,male
2013-04-01 06:21:17,male
2013-04-01 06:22:57,female
2013-04-01 06:26:55,female
2013-04-01 06:31:04,male
2013-04-01 06:32:20,male
2013-04-01 06:35:00,female
2013-04-01 06:35:19,female
2013-04-01 06:35:44,female
2013-04-01 06:40:17,male
2013-04-01 06:41:06,male
2013-04-01 06:44:55,male
2013-04-01 06:46:44,male
2013-04-01 06:47:06,male
2013-04-01 06:49:25,female
2013-04-01 06:56:04,female
2013-04-01 06:56:37,female
2013-04-01 06:59:19,female
2013-04-01 07:01:12,male
2013-04-01 07:02:26,female
2013-04-01 07:02:52,female
2013-04-01 07:08:25,male
2013-04-01 07:09:53,female
2013-04-01 07:13:55,female
2013-04-01 07:18:35,female
2013-04-01 07:18:39,female
2013-04-01 07:24:30,male
2013-04-01 07:27:56,male
2013-04-01 07:30:14,male
2013-04-01 07:33:50,female
2013-04-01 07:36:31,male
2013-04-01 07:39:10,male
2013-04-01 07:46:32,male
2013-04-01 07:46:50,female
2013-04-01 07:58:03,female
2013-04-01 07:59:50,female
2013-04-01 08:02:02,male
2013-04-01 08:03:04,male
2013-04-01 08:03:39,female
2013-04-01 08:05:21,male
2013-04-01 08:13:22,male
2013-04-01 08:13:30,male
2013-04-01 08:19:17,male
2013-04-01 08:21:16,female
2013-04-01 08:22:28,female
2013-04-01 08:22:49,male
2013-04-01 08:25:18,female
2013-04-01 08:27:21,female
2013-04-01 08:28:26,male
2013-04-01 08:31:12,male
2013-04-01 08:41:34,male
2013-04-01 08:49:32,female
2013-04-01 08:52:45,male
2013-04-01 08:59:09,male
2013-04-01 08:59:24,female
2013-04-01 09:11:44,female
2013-04-01 09:12:34,male
2013-04-01 09:12:35,male
2013-04-01 09:13:02,male
2013-04-01 09:16:14,female
2013-04-01 09:20:26,male
2013-04-01 09:30:08,male
2013-04-01 09:32:28,female
2013-04-01 09:34:21,male
2013-04-01 09:36:20,female
2013-04-01 09:37:25,male
2013-04-01 09:38:34,male
2013-04-01 09:39:17,female
2013-04-01 09:39:55,male
2013-04-01 09:42:05,female
2013-04-01 09:47:54,female
2013-04-01 09:48:05,female
2013-04-01 09:50:06,male
2013-04-01 09:50:18,male
2013-04-01 09:53:15,female
2013-04-01 09:59:22,male
2013-04-01 09:59:28,female
2013-04-01 10:05:07,female
2013-04-01 10:09:09,female
2013-04-01 10:11:59,female
2013-04-01 10:14:05,male
2013-04-01 10:16:54,female
2013-04-01 10:18:48,male
2013-04-01 10:19:01,female
2013-04-01 10:24:08,male
2013-04-01 10:24:42,female
2013-04-01 10:25:27,male
2013-04-01 10:26:31,female
2013-04-01 10:29:49,female
2013-04-01 10:33:52,female
2013-04-01 10:35:19,male
2013-04-01 10:37:28,male
2013-04-01 10:40:53,female
2013-04-01 10:41:47,male
2013-04-01 10:45:33,female
2013-04-01 10:46:07,female
2013-04-01 10:46:30,female
2013-04-01 10:47:32,female
2013-04-01 10:49:38,female
2013-04-01 10:49:43,female
2013-04-01 10:49:47,male
2013-04-01 10:50:42,female
2013-04-01 10:51:33,female
2013-04-01 10:56:47,female
2013-04-01 10:59:27,female
2013-04-01 11:04:22,male
2013-04-01 11:05:24,female
2013-04-01 11:06:38,female
2013-04-01 11:10:29,female
2013-04-01 11:12:51,female
2013-04-01 11:12:54,female
2013-04-01 11:20:33,male
2013-04-01 11:21:49,male
2013-04-01 11:23:30,male
2013-04-01 11:28:04,male
2013-04-01 11:29:52,female
2013-04-01 11:31:55,female
2013-04-01 11:35:07,male
2013-04-01 11:37:48,male
2013-04-01 11:39:17,male
2013-04-01 11:39:53,female
2013-04-01 11:43:42,female
2013-04-01 11:50:09,female
2013-04-01 11:51:01,female
2013-04-01 11:52:35,male
2013-04-01 11:53:41,male
2013-04-01 11:58:09,female
2013-04-01 11:58:20,male
2013-04-01 11:58:44,male
2013-04-01 11:59:30,male
2013-04-01 12:01:22,male
2013-04-01 12:04:50,male
2013-04-01 12:05:09,female
2013-04-01 12:05:51,male
2013-04-01 12:11:43,female
2013-04-01 12:21:35,male
2013-04-01 12:22:34,male
2013-04-01 12:23:06,male
2013-04-01 12:24:13,female
2013-04-01 12:24:57,female
2013-04-01 12:26:14,female
2013-04-01 12:26:32,male
2013-04-01 12:27:45,male
2013-04-01 12:28:16,male
2013-04-01 12:30:23,female
2013-04-01 12:32:32,female
2013-04-01 12:33:35,female
2013-04-01 12:36:11,male
2013-04-01 12:37:49,male
2013-04-01 12:39:27,female
2013-04-01 12:42:26,male
2013-04-01 12:44:49,male
2013-04-01 12:45:53,female
2013-04-01 12:48:06,female
2013-04-01 12:51:37,male
2013-04-01 12:51:58,female
2013-04-01 12:53:20,male
2013-04-01 12:54:39,male
2013-04-01 12:58:12,female
2013-04-01 12:58:55,male
2013-04-01 12:59:01,male
2013-04-01 12:59:30,female
2013-04-01 13:00:26,male
2013-04-01 13:02:59,female
2013-04-01 13:05:22,male
2013-04-01 13:11:24,female
2013-04-01 13:12:42,male
2013-04-01 13:18:36,male
2013-04-01 13:22:09,female
2013-04-01 13:22:57,male
2013-04-01 13:26:46,female
2013-04-01 13:28:04,female
2013-04-01 13:28:41,male
2013-04-01 13:33:45,male
2013-04-01 13:38:05,female
2013-04-01 13:41:17,male
2013-04-01 13:43:03,female
2013-04-01 13:43:37,male
2013-04-01 13:46:52,male
2013-04-01 13:51:29,male
2013-04-01 13:53:24,male
2013-04-01 13:53:39,female
2013-04-01 13:56:09,female
2013-04-01 13:56:17,female
2013-04-01 13:57:46,male
2013-04-01 14:01:16,male
2013-04-01 14:01:27,male
2013-04-01 14:05:36,female
2013-04-01 14:06:51,female
2013-04-01 14:07:24,female
2013-04-01 14:08:19,male
2013-04-01 14:09:22,male
2013-04-01 14:09:47,male
2013-04-01 14:12:11,male
2013-04-01 14:12:52,male
2013-04-01 14:13:13,female
2013-04-01 14:13:34,female
2013-04-01 14:17:46,male
2013-04-01 14:18:53,female
2013-04-01 14:24:19,male
2013-04-01 14:26:49,female
2013-04-01 14:33:23,male
2013-04-01 14:38:07,male
2013-04-01 14:38:42,female
2013-04-01 14:39:58,male
2013-04-01 14:40:49,female
2013-04-01 14:41:40,female
2013-04-01 14:42:59,male
2013-04-01 14:45:43,female
2013-04-01 14:46:57,female
2013-04-01 14:50:02,female
2013-04-01 14:51:43,female
2013-04-01 14:52:00,male
2013-04-01 14:53:16,male
2013-04-01 14:53:49,female
2013-04-01 14:55:44,female
2013-04-01 14:58:43,female
2013-04-01 15:00:04,male
2013-04-01 15:00:40,female
2013-04-01 15:01:13,male
2013-04-01 15:02:09,female
2013-04-01 15:05:01,male
2013-04-01 15:06:10,female
2013-04-01 15:06:39,male
2013-04-01 15:10:39,female
2013-04-01 15:11:07,female
2013-04-01 15:16:48,male
2013-04-01 15:18:41,female
2013-04-01 15:19:13,female
2013-04-01 15:19:50,female
2013-04-01 15:20:14,male
2013-04-01 15:20:36,male
2013-04-01 15:25:24,female
2013-04-01 15:27:16,male
2013-04-01 15:35:09,male
2013-04-01 15:36:45,female
2013-04-01 15:38:01,female
2013-04-01 15:40:45,female
2013-04-01 15:40:46,female
2013-04-01 15:41:24,male
2013-04-01 15:41:28,male
2013-04-01 15:41:41,male
2013-04-01 15:51:25,female
2013-04-01 15:51:39,male
2013-04-01 15:54:01,female
2013-04-01 15:54:41,male
2013-04-01 15:56:25,female
2013-04-01 15:57:39,male
2013-04-01 16:02:20,male
2013-04-01 16:02:37,female
2013-04-01 16:04:07,male
2013-04-01 16:13:18,male
2013-04-01 16:13:46,female
2013-04-01 16:14:29,male
2013-04-01 16:16:18,female
2013-04-01 16:16:28,female
2013-04-01 16:18:15,male
2013-04-01 16:18:23,female
2013-04-01 16:20:50,female
2013-04-01 16:21:13,female
2013-04-01 16:22:25,male
2013-04-01 16:22:52,male
2013-04-01 16:24:10,female
2013-04-01 16:25:17,male
2013-04-01 16:27:32,female
2013-04-01 16:34:12,female
2013-04-01 16:34:22,male
2013-04-01 16:36:16,female
2013-04-01 16:36:38,female
2013-04-01 16:37:32,female
2013-04-01 16:38:52,male
2013-04-01 16:41:58,female
2013-04-01 16:42:24,female
2013-04-01 16:44:52,male
2013-04-01 16:45:23,female
2013-04-01 16:48:19,male
2013-04-01 16:50:52,female
2013-04-01 16:52:14,male
2013-04-01 16:55:19,female
2013-04-01 16:55:57,male
2013-04-01 16:56:46,female
2013-04-01 17:04:28,male
2013-04-01 17:06:40,male
2013-04-01 17:09:11,female
2013-04-01 17:09:45,female
2013-04-01 17:10:26,female
2013-04-01 17:12:13,female
2013-04-01 17:12:23,female
2013-04-01 17:15:09,male
